?"County","CountyCode","Year","Total","Male","Female"
"Total","Bihor","2000","4.6","3.1","3.2"
"Total","Bihor","2001","3.1","3.2","2.5"
"Total","Bihor","2002","3.2","2.5","2.1"
"Total","Bihor","2003","2.5","2.1","2.7"
"Total","Bihor","2004","2.1","2.7","2.7"
"Total","Bihor","2005","2.7","2.7","2.4"
"Total","Bihor","2006","2.7","2.4","3"
"Total","Bihor","2007","2.4","3","5.8"
"Total","Bihor","2008","3","5.8","5.9"
"Total","Bihor","2009","5.8","5.9","4.2"
"Total","Bihor","2010","5.9","4.2","4.2"
"Total","Bihor","2011","4.2","4.2","3.7"
"Total","Bihor","2012","4.2","3.7","3.7"
"Total","Bihor","2013","3.7","3.7","3.5"
"Total","Bihor","2014","3.7","3.5","3.1"
"Total","Bihor","2015","3.5","3.1","2.4"
"Total","Bihor","2016","3.1","2.4","1.5"
"Total","Bihor","2017","2.4","1.5","1.4"
"Total","Bihor","2018","1.5","1.4","2.3"
"Total","Bihor","2019","1.4","2.3","1.5"
"Total","Bihor","2020","2.3","1.5","1.2"
"Total","Bihor","2021","1.5","1.2","undefined"
"Total","Bihor","2022","1.2","undefined","undefined"
"Total","Bistrita-Nasaud","2000","12.7","11.2","10"
"Total","Bistrita-Nasaud","2001","11.2","10","7.5"
"Total","Bistrita-Nasaud","2002","10","7.5","6.4"
"Total","Bistrita-Nasaud","2003","7.5","6.4","4.3"
"Total","Bistrita-Nasaud","2004","6.4","4.3","3.2"
"Total","Bistrita-Nasaud","2005","4.3","3.2","2.4"
"Total","Bistrita-Nasaud","2006","3.2","2.4","2.7"
"Total","Bistrita-Nasaud","2007","2.4","2.7","8.2"
"Total","Bistrita-Nasaud","2008","2.7","8.2","6.4"
"Total","Bistrita-Nasaud","2009","8.2","6.4","4.9"
"Total","Bistrita-Nasaud","2010","6.4","4.9","4.8"
"Total","Bistrita-Nasaud","2011","4.9","4.8","4.9"
"Total","Bistrita-Nasaud","2012","4.8","4.9","4.5"
"Total","Bistrita-Nasaud","2013","4.9","4.5","3.5"
"Total","Bistrita-Nasaud","2014","4.5","3.5","3.7"
"Total","Bistrita-Nasaud","2015","3.5","3.7","3.1"
"Total","Bistrita-Nasaud","2016","3.7","3.1","3.1"
"Total","Bistrita-Nasaud","2017","3.1","3.1","2.6"
"Total","Bistrita-Nasaud","2018","3.1","2.6","3.4"
"Total","Bistrita-Nasaud","2019","2.6","3.4","3.5"
"Total","Bistrita-Nasaud","2020","3.4","3.5","3.2"
"Total","Bistrita-Nasaud","2021","3.5","3.2","undefined"
"Total","Bistrita-Nasaud","2022","3.2","undefined","undefined"
"Total","Cluj","2000","11.3","9.4","10"
"Total","Cluj","2001","9.4","10","7.6"
"Total","Cluj","2002","10","7.6","5.1"
"Total","Cluj","2003","7.6","5.1","4.4"
"Total","Cluj","2004","5.1","4.4","3.4"
"Total","Cluj","2005","4.4","3.4","3"
"Total","Cluj","2006","3.4","3","2.9"
"Total","Cluj","2007","3","2.9","6.3"
"Total","Cluj","2008","2.9","6.3","4.9"
"Total","Cluj","2009","6.3","4.9","3.8"
"Total","Cluj","2010","4.9","3.8","3.8"
"Total","Cluj","2011","3.8","3.8","3.5"
"Total","Cluj","2012","3.8","3.5","2.8"
"Total","Cluj","2013","3.5","2.8","2.3"
"Total","Cluj","2014","2.8","2.3","2.2"
"Total","Cluj","2015","2.3","2.2","2"
"Total","Cluj","2016","2.2","2","1.3"
"Total","Cluj","2017","2","1.3","1.2"
"Total","Cluj","2018","1.3","1.2","1.6"
"Total","Cluj","2019","1.2","1.6","1.3"
"Total","Cluj","2020","1.6","1.3","1.2"
"Total","Cluj","2021","1.3","1.2","undefined"
"Total","Cluj","2022","1.2","undefined","undefined"
"Total","Maramures","2000","9.2","6.9","6.5"
"Total","Maramures","2001","6.9","6.5","5.4"
"Total","Maramures","2002","6.5","5.4","4.6"
"Total","Maramures","2003","5.4","4.6","4.5"
"Total","Maramures","2004","4.6","4.5","4"
"Total","Maramures","2005","4.5","4","3.4"
"Total","Maramures","2006","4","3.4","3.7"
"Total","Maramures","2007","3.4","3.7","6.4"
"Total","Maramures","2008","3.7","6.4","6"
"Total","Maramures","2009","6.4","6","4.1"
"Total","Maramures","2010","6","4.1","4.1"
"Total","Maramures","2011","4.1","4.1","3.9"
"Total","Maramures","2012","4.1","3.9","3.5"
"Total","Maramures","2013","3.9","3.5","3.5"
"Total","Maramures","2014","3.5","3.5","3.3"
"Total","Maramures","2015","3.5","3.3","3.1"
"Total","Maramures","2016","3.3","3.1","3.2"
"Total","Maramures","2017","3.1","3.2","2.6"
"Total","Maramures","2018","3.2","2.6","2.3"
"Total","Maramures","2019","2.6","2.3","2.1"
"Total","Maramures","2020","2.3","2.1","1.9"
"Total","Maramures","2021","2.1","1.9","undefined"
"Total","Maramures","2022","1.9","undefined","undefined"
"Total","Satu Mare","2000","4.5","3.1","4"
"Total","Satu Mare","2001","3.1","4","2.8"
"Total","Satu Mare","2002","4","2.8","2"
"Total","Satu Mare","2003","2.8","2","3.4"
"Total","Satu Mare","2004","2","3.4","3.4"
"Total","Satu Mare","2005","3.4","3.4","2.6"
"Total","Satu Mare","2006","3.4","2.6","3"
"Total","Satu Mare","2007","2.6","3","6.5"
"Total","Satu Mare","2008","3","6.5","6.1"
"Total","Satu Mare","2009","6.5","6.1","4.6"
"Total","Satu Mare","2010","6.1","4.6","4.8"
"Total","Satu Mare","2011","4.6","4.8","4.6"
"Total","Satu Mare","2012","4.8","4.6","4.4"
"Total","Satu Mare","2013","4.6","4.4","4"
"Total","Satu Mare","2014","4.4","4","4.2"
"Total","Satu Mare","2015","4","4.2","3.2"
"Total","Satu Mare","2016","4.2","3.2","2.6"
"Total","Satu Mare","2017","3.2","2.6","2.5"
"Total","Satu Mare","2018","2.6","2.5","3.7"
"Total","Satu Mare","2019","2.5","3.7","3.6"
"Total","Satu Mare","2020","3.7","3.6","3.8"
"Total","Satu Mare","2021","3.6","3.8","undefined"
"Total","Satu Mare","2022","3.8","undefined","undefined"
"Total","Salaj","2000","10","9","7.3"
"Total","Salaj","2001","9","7.3","7.3"
"Total","Salaj","2002","7.3","7.3","6.2"
"Total","Salaj","2003","7.3","6.2","6.1"
"Total","Salaj","2004","6.2","6.1","6.3"
"Total","Salaj","2005","6.1","6.3","4.4"
"Total","Salaj","2006","6.3","4.4","5.5"
"Total","Salaj","2007","4.4","5.5","10.3"
"Total","Salaj","2008","5.5","10.3","8.4"
"Total","Salaj","2009","10.3","8.4","6.5"
"Total","Salaj","2010","8.4","6.5","6.2"
"Total","Salaj","2011","6.5","6.2","6.2"
"Total","Salaj","2012","6.2","6.2","5.9"
"Total","Salaj","2013","6.2","5.9","5.4"
"Total","Salaj","2014","5.9","5.4","5.3"
"Total","Salaj","2015","5.4","5.3","4.7"
"Total","Salaj","2016","5.3","4.7","4.5"
"Total","Salaj","2017","4.7","4.5","4.2"
"Total","Salaj","2018","4.5","4.2","5.2"
"Total","Salaj","2019","4.2","5.2","4.9"
"Total","Salaj","2020","5.2","4.9","5"
"Total","Salaj","2021","4.9","5","undefined"
"Total","Salaj","2022","5","undefined","undefined"
"Total","Alba","2000","12.9","10.4","10.8"
"Total","Alba","2001","10.4","10.8","9.2"
"Total","Alba","2002","10.8","9.2","10"
"Total","Alba","2003","9.2","10","8.3"
"Total","Alba","2004","10","8.3","7.1"
"Total","Alba","2005","8.3","7.1","5.7"
"Total","Alba","2006","7.1","5.7","7.1"
"Total","Alba","2007","5.7","7.1","12.5"
"Total","Alba","2008","7.1","12.5","10"
"Total","Alba","2009","12.5","10","7.7"
"Total","Alba","2010","10","7.7","8.4"
"Total","Alba","2011","7.7","8.4","10.2"
"Total","Alba","2012","8.4","10.2","7.3"
"Total","Alba","2013","10.2","7.3","5.6"
"Total","Alba","2014","7.3","5.6","5.1"
"Total","Alba","2015","5.6","5.1","3.7"
"Total","Alba","2016","5.1","3.7","3.4"
"Total","Alba","2017","3.7","3.4","3.1"
"Total","Alba","2018","3.4","3.1","3.8"
"Total","Alba","2019","3.1","3.8","3.3"
"Total","Alba","2020","3.8","3.3","3.7"
"Total","Alba","2021","3.3","3.7","undefined"
"Total","Alba","2022","3.7","undefined","undefined"
"Total","Brasov","2000","11.4","9.6","11.9"
"Total","Brasov","2001","9.6","11.9","10.6"
"Total","Brasov","2002","11.9","10.6","10.7"
"Total","Brasov","2003","10.6","10.7","8.7"
"Total","Brasov","2004","10.7","8.7","6.1"
"Total","Brasov","2005","8.7","6.1","5"
"Total","Brasov","2006","6.1","5","4.3"
"Total","Brasov","2007","5","4.3","8.7"
"Total","Brasov","2008","4.3","8.7","7.2"
"Total","Brasov","2009","8.7","7.2","5.1"
"Total","Brasov","2010","7.2","5.1","4.9"
"Total","Brasov","2011","5.1","4.9","4.7"
"Total","Brasov","2012","4.9","4.7","4.3"
"Total","Brasov","2013","4.7","4.3","3.8"
"Total","Brasov","2014","4.3","3.8","3.6"
"Total","Brasov","2015","3.8","3.6","2.8"
"Total","Brasov","2016","3.6","2.8","2.2"
"Total","Brasov","2017","2.8","2.2","2"
"Total","Brasov","2018","2.2","2","2.6"
"Total","Brasov","2019","2","2.6","2"
"Total","Brasov","2020","2.6","2","2.2"
"Total","Brasov","2021","2","2.2","undefined"
"Total","Brasov","2022","2.2","undefined","undefined"
"Total","Covasna","2000","11.2","9.7","9.2"
"Total","Covasna","2001","9.7","9.2","7.7"
"Total","Covasna","2002","9.2","7.7","8.1"
"Total","Covasna","2003","7.7","8.1","8.8"
"Total","Covasna","2004","8.1","8.8","7.1"
"Total","Covasna","2005","8.8","7.1","7"
"Total","Covasna","2006","7.1","7","7.2"
"Total","Covasna","2007","7","7.2","11.1"
"Total","Covasna","2008","7.2","11.1","10"
"Total","Covasna","2009","11.1","10","8.6"
"Total","Covasna","2010","10","8.6","7.6"
"Total","Covasna","2011","8.6","7.6","7.4"
"Total","Covasna","2012","7.6","7.4","6.5"
"Total","Covasna","2013","7.4","6.5","5.7"
"Total","Covasna","2014","6.5","5.7","5.2"
"Total","Covasna","2015","5.7","5.2","4.2"
"Total","Covasna","2016","5.2","4.2","3.6"
"Total","Covasna","2017","4.2","3.6","3.3"
"Total","Covasna","2018","3.6","3.3","5.1"
"Total","Covasna","2019","3.3","5.1","4.2"
"Total","Covasna","2020","5.1","4.2","4"
"Total","Covasna","2021","4.2","4","undefined"
"Total","Covasna","2022","4","undefined","undefined"
"Total","Harghita","2000","9.9","8.5","7.7"
"Total","Harghita","2001","8.5","7.7","7.8"
"Total","Harghita","2002","7.7","7.8","7.2"
"Total","Harghita","2003","7.8","7.2","8.5"
"Total","Harghita","2004","7.2","8.5","7.2"
"Total","Harghita","2005","8.5","7.2","5.1"
"Total","Harghita","2006","7.2","5.1","6.5"
"Total","Harghita","2007","5.1","6.5","10.5"
"Total","Harghita","2008","6.5","10.5","8.8"
"Total","Harghita","2009","10.5","8.8","6.5"
"Total","Harghita","2010","8.8","6.5","7.3"
"Total","Harghita","2011","6.5","7.3","7"
"Total","Harghita","2012","7.3","7","6"
"Total","Harghita","2013","7","6","5.5"
"Total","Harghita","2014","6","5.5","5.8"
"Total","Harghita","2015","5.5","5.8","4.9"
"Total","Harghita","2016","5.8","4.9","4.2"
"Total","Harghita","2017","4.9","4.2","3.8"
"Total","Harghita","2018","4.2","3.8","4.5"
"Total","Harghita","2019","3.8","4.5","3.9"
"Total","Harghita","2020","4.5","3.9","4.4"
"Total","Harghita","2021","3.9","4.4","undefined"
"Total","Harghita","2022","4.4","undefined","undefined"
"Total","Mures","2000","7.1","6.1","6.4"
"Total","Mures","2001","6.1","6.4","6.7"
"Total","Mures","2002","6.4","6.7","4.4"
"Total","Mures","2003","6.7","4.4","4.6"
"Total","Mures","2004","4.4","4.6","5.2"
"Total","Mures","2005","4.6","5.2","4.3"
"Total","Mures","2006","5.2","4.3","4.7"
"Total","Mures","2007","4.3","4.7","8"
"Total","Mures","2008","4.7","8","8"
"Total","Mures","2009","8","8","6"
"Total","Mures","2010","8","6","6"
"Total","Mures","2011","6","6","5.5"
"Total","Mures","2012","6","5.5","5.8"
"Total","Mures","2013","5.5","5.8","4.8"
"Total","Mures","2014","5.8","4.8","4.7"
"Total","Mures","2015","4.8","4.7","4"
"Total","Mures","2016","4.7","4","3"
"Total","Mures","2017","4","3","2.7"
"Total","Mures","2018","3","2.7","2.7"
"Total","Mures","2019","2.7","2.7","2.5"
"Total","Mures","2020","2.7","2.5","3.2"
"Total","Mures","2021","2.5","3.2","undefined"
"Total","Mures","2022","3.2","undefined","undefined"
"Total","Sibiu","2000","10.3","8.3","7.3"
"Total","Sibiu","2001","8.3","7.3","7.1"
"Total","Sibiu","2002","7.3","7.1","6.3"
"Total","Sibiu","2003","7.1","6.3","6"
"Total","Sibiu","2004","6.3","6","5.1"
"Total","Sibiu","2005","6","5.1","3.1"
"Total","Sibiu","2006","5.1","3.1","3.1"
"Total","Sibiu","2007","3.1","3.1","8.3"
"Total","Sibiu","2008","3.1","8.3","5.8"
"Total","Sibiu","2009","8.3","5.8","4.3"
"Total","Sibiu","2010","5.8","4.3","4.5"
"Total","Sibiu","2011","4.3","4.5","4.8"
"Total","Sibiu","2012","4.5","4.8","4.6"
"Total","Sibiu","2013","4.8","4.6","3.7"
"Total","Sibiu","2014","4.6","3.7","3.4"
"Total","Sibiu","2015","3.7","3.4","2.4"
"Total","Sibiu","2016","3.4","2.4","1.8"
"Total","Sibiu","2017","2.4","1.8","1.8"
"Total","Sibiu","2018","1.8","1.8","2.8"
"Total","Sibiu","2019","1.8","2.8","2"
"Total","Sibiu","2020","2.8","2","2.3"
"Total","Sibiu","2021","2","2.3","undefined"
"Total","Sibiu","2022","2.3","undefined","undefined"
"Total","Bacau","2000","9.5","8.2","9.4"
"Total","Bacau","2001","8.2","9.4","7.1"
"Total","Bacau","2002","9.4","7.1","7"
"Total","Bacau","2003","7.1","7","6.3"
"Total","Bacau","2004","7","6.3","5.8"
"Total","Bacau","2005","6.3","5.8","4.4"
"Total","Bacau","2006","5.8","4.4","5.3"
"Total","Bacau","2007","4.4","5.3","9"
"Total","Bacau","2008","5.3","9","7.8"
"Total","Bacau","2009","9","7.8","6.2"
"Total","Bacau","2010","7.8","6.2","6.4"
"Total","Bacau","2011","6.2","6.4","7.2"
"Total","Bacau","2012","6.4","7.2","6.8"
"Total","Bacau","2013","7.2","6.8","6.6"
"Total","Bacau","2014","6.8","6.6","6.9"
"Total","Bacau","2015","6.6","6.9","6.6"
"Total","Bacau","2016","6.9","6.6","6"
"Total","Bacau","2017","6.6","6","5.2"
"Total","Bacau","2018","6","5.2","5.4"
"Total","Bacau","2019","5.2","5.4","3.7"
"Total","Bacau","2020","5.4","3.7","2.8"
"Total","Bacau","2021","3.7","2.8","undefined"
"Total","Bacau","2022","2.8","undefined","undefined"
"Total","Botosani","2000","16.7","11.8","11"
"Total","Botosani","2001","11.8","11","9.7"
"Total","Botosani","2002","11","9.7","8"
"Total","Botosani","2003","9.7","8","6.2"
"Total","Botosani","2004","8","6.2","5.4"
"Total","Botosani","2005","6.2","5.4","4"
"Total","Botosani","2006","5.4","4","3.6"
"Total","Botosani","2007","4","3.6","7.2"
"Total","Botosani","2008","3.6","7.2","6.4"
"Total","Botosani","2009","7.2","6.4","4"
"Total","Botosani","2010","6.4","4","4.4"
"Total","Botosani","2011","4","4.4","5.3"
"Total","Botosani","2012","4.4","5.3","5"
"Total","Botosani","2013","5.3","5","4.9"
"Total","Botosani","2014","5","4.9","5.7"
"Total","Botosani","2015","4.9","5.7","3.6"
"Total","Botosani","2016","5.7","3.6","3.1"
"Total","Botosani","2017","3.6","3.1","2.6"
"Total","Botosani","2018","3.1","2.6","2.9"
"Total","Botosani","2019","2.6","2.9","2.6"
"Total","Botosani","2020","2.9","2.6","3"
"Total","Botosani","2021","2.6","3","undefined"
"Total","Botosani","2022","3","undefined","undefined"
"Total","Iasi","2000","10.9","9.4","9.7"
"Total","Iasi","2001","9.4","9.7","9.5"
"Total","Iasi","2002","9.7","9.5","7.1"
"Total","Iasi","2003","9.5","7.1","7.2"
"Total","Iasi","2004","7.1","7.2","6.5"
"Total","Iasi","2005","7.2","6.5","5.6"
"Total","Iasi","2006","6.5","5.6","5.4"
"Total","Iasi","2007","5.6","5.4","7.4"
"Total","Iasi","2008","5.4","7.4","7"
"Total","Iasi","2009","7.4","7","5.4"
"Total","Iasi","2010","7","5.4","5.1"
"Total","Iasi","2011","5.4","5.1","5.2"
"Total","Iasi","2012","5.1","5.2","5"
"Total","Iasi","2013","5.2","5","4.5"
"Total","Iasi","2014","5","4.5","4.5"
"Total","Iasi","2015","4.5","4.5","4.1"
"Total","Iasi","2016","4.5","4.1","3"
"Total","Iasi","2017","4.1","3","2.7"
"Total","Iasi","2018","3","2.7","3.1"
"Total","Iasi","2019","2.7","3.1","3"
"Total","Iasi","2020","3.1","3","3.1"
"Total","Iasi","2021","3","3.1","undefined"
"Total","Iasi","2022","3.1","undefined","undefined"
"Total","Neamt","2000","16.6","14.1","10.7"
"Total","Neamt","2001","14.1","10.7","8.2"
"Total","Neamt","2002","10.7","8.2","7.2"
"Total","Neamt","2003","8.2","7.2","5.6"
"Total","Neamt","2004","7.2","5.6","4.9"
"Total","Neamt","2005","5.6","4.9","3.8"
"Total","Neamt","2006","4.9","3.8","4.1"
"Total","Neamt","2007","3.8","4.1","7.9"
"Total","Neamt","2008","4.1","7.9","7.7"
"Total","Neamt","2009","7.9","7.7","5.2"
"Total","Neamt","2010","7.7","5.2","5.4"
"Total","Neamt","2011","5.2","5.4","6.2"
"Total","Neamt","2012","5.4","6.2","6.1"
"Total","Neamt","2013","6.2","6.1","6.1"
"Total","Neamt","2014","6.1","6.1","6.1"
"Total","Neamt","2015","6.1","6.1","5"
"Total","Neamt","2016","6.1","5","4.6"
"Total","Neamt","2017","5","4.6","4"
"Total","Neamt","2018","4.6","4","5"
"Total","Neamt","2019","4","5","4.4"
"Total","Neamt","2020","5","4.4","3.9"
"Total","Neamt","2021","4.4","3.9","undefined"
"Total","Neamt","2022","3.9","undefined","undefined"
"Total","Suceava","2000","12.2","8.6","10.3"
"Total","Suceava","2001","8.6","10.3","8.1"
"Total","Suceava","2002","10.3","8.1","7.8"
"Total","Suceava","2003","8.1","7.8","6"
"Total","Suceava","2004","7.8","6","4.7"
"Total","Suceava","2005","6","4.7","3.7"
"Total","Suceava","2006","4.7","3.7","4.3"
"Total","Suceava","2007","3.7","4.3","7.9"
"Total","Suceava","2008","4.3","7.9","7.3"
"Total","Suceava","2009","7.9","7.3","4.9"
"Total","Suceava","2010","7.3","4.9","5.5"
"Total","Suceava","2011","4.9","5.5","6.5"
"Total","Suceava","2012","5.5","6.5","6.7"
"Total","Suceava","2013","6.5","6.7","6.5"
"Total","Suceava","2014","6.7","6.5","6.2"
"Total","Suceava","2015","6.5","6.2","5.4"
"Total","Suceava","2016","6.2","5.4","5.1"
"Total","Suceava","2017","5.4","5.1","4.8"
"Total","Suceava","2018","5.1","4.8","5.1"
"Total","Suceava","2019","4.8","5.1","5.4"
"Total","Suceava","2020","5.1","5.4","5.5"
"Total","Suceava","2021","5.4","5.5","undefined"
"Total","Suceava","2022","5.5","undefined","undefined"
"Total","Vaslui","2000","15.4","13.3","15.9"
"Total","Vaslui","2001","13.3","15.9","12.3"
"Total","Vaslui","2002","15.9","12.3","11"
"Total","Vaslui","2003","12.3","11","10.1"
"Total","Vaslui","2004","11","10.1","11.3"
"Total","Vaslui","2005","10.1","11.3","9.7"
"Total","Vaslui","2006","11.3","9.7","10.2"
"Total","Vaslui","2007","9.7","10.2","13.9"
"Total","Vaslui","2008","10.2","13.9","11.8"
"Total","Vaslui","2009","13.9","11.8","9.8"
"Total","Vaslui","2010","11.8","9.8","10.1"
"Total","Vaslui","2011","9.8","10.1","10.7"
"Total","Vaslui","2012","10.1","10.7","11.4"
"Total","Vaslui","2013","10.7","11.4","11.2"
"Total","Vaslui","2014","11.4","11.2","12"
"Total","Vaslui","2015","11.2","12","10.4"
"Total","Vaslui","2016","12","10.4","8.6"
"Total","Vaslui","2017","10.4","8.6","7.5"
"Total","Vaslui","2018","8.6","7.5","7.4"
"Total","Vaslui","2019","7.5","7.4","8.6"
"Total","Vaslui","2020","7.4","8.6","8.4"
"Total","Vaslui","2021","8.6","8.4","undefined"
"Total","Vaslui","2022","8.4","undefined","undefined"
"Total","Braila","2000","15.3","11.6","10"
"Total","Braila","2001","11.6","10","8.5"
"Total","Braila","2002","10","8.5","8.7"
"Total","Braila","2003","8.5","8.7","6.8"
"Total","Braila","2004","8.7","6.8","5.4"
"Total","Braila","2005","6.8","5.4","3.9"
"Total","Braila","2006","5.4","3.9","4.4"
"Total","Braila","2007","3.9","4.4","8"
"Total","Braila","2008","4.4","8","8.7"
"Total","Braila","2009","8","8.7","5.8"
"Total","Braila","2010","8.7","5.8","6.5"
"Total","Braila","2011","5.8","6.5","7"
"Total","Braila","2012","6.5","7","7.4"
"Total","Braila","2013","7","7.4","7.2"
"Total","Braila","2014","7.4","7.2","6.9"
"Total","Braila","2015","7.2","6.9","5"
"Total","Braila","2016","6.9","5","4"
"Total","Braila","2017","5","4","3.5"
"Total","Braila","2018","4","3.5","4.3"
"Total","Braila","2019","3.5","4.3","3.4"
"Total","Braila","2020","4.3","3.4","3.2"
"Total","Braila","2021","3.4","3.2","undefined"
"Total","Braila","2022","3.2","undefined","undefined"
"Total","Buzau","2000","12.7","12.1","9.3"
"Total","Buzau","2001","12.1","9.3","7.4"
"Total","Buzau","2002","9.3","7.4","6.7"
"Total","Buzau","2003","7.4","6.7","7.4"
"Total","Buzau","2004","6.7","7.4","7.5"
"Total","Buzau","2005","7.4","7.5","5.5"
"Total","Buzau","2006","7.5","5.5","5.7"
"Total","Buzau","2007","5.5","5.7","9.4"
"Total","Buzau","2008","5.7","9.4","9.7"
"Total","Buzau","2009","9.4","9.7","8"
"Total","Buzau","2010","9.7","8","7.9"
"Total","Buzau","2011","8","7.9","8.6"
"Total","Buzau","2012","7.9","8.6","9.7"
"Total","Buzau","2013","8.6","9.7","10"
"Total","Buzau","2014","9.7","10","9.8"
"Total","Buzau","2015","10","9.8","8.7"
"Total","Buzau","2016","9.8","8.7","7.3"
"Total","Buzau","2017","8.7","7.3","6.6"
"Total","Buzau","2018","7.3","6.6","7.9"
"Total","Buzau","2019","6.6","7.9","5.7"
"Total","Buzau","2020","7.9","5.7","5.3"
"Total","Buzau","2021","5.7","5.3","undefined"
"Total","Buzau","2022","5.3","undefined","undefined"
"Total","Constanta","2000","10","9","8.7"
"Total","Constanta","2001","9","8.7","7"
"Total","Constanta","2002","8.7","7","5.9"
"Total","Constanta","2003","7","5.9","5.6"
"Total","Constanta","2004","5.9","5.6","4.3"
"Total","Constanta","2005","5.6","4.3","3.5"
"Total","Constanta","2006","4.3","3.5","3"
"Total","Constanta","2007","3.5","3","6.4"
"Total","Constanta","2008","3","6.4","5.8"
"Total","Constanta","2009","6.4","5.8","4.3"
"Total","Constanta","2010","5.8","4.3","4.5"
"Total","Constanta","2011","4.3","4.5","4.4"
"Total","Constanta","2012","4.5","4.4","4"
"Total","Constanta","2013","4.4","4","3.6"
"Total","Constanta","2014","4","3.6","3.5"
"Total","Constanta","2015","3.6","3.5","3.1"
"Total","Constanta","2016","3.5","3.1","2.7"
"Total","Constanta","2017","3.1","2.7","2.5"
"Total","Constanta","2018","2.7","2.5","3"
"Total","Constanta","2019","2.5","3","2.4"
"Total","Constanta","2020","3","2.4","2.3"
"Total","Constanta","2021","2.4","2.3","undefined"
"Total","Constanta","2022","2.3","undefined","undefined"
"Total","Galati","2000","12.6","10.7","14.8"
"Total","Galati","2001","10.7","14.8","11"
"Total","Galati","2002","14.8","11","9.6"
"Total","Galati","2003","11","9.6","8.3"
"Total","Galati","2004","9.6","8.3","7.2"
"Total","Galati","2005","8.3","7.2","5.7"
"Total","Galati","2006","7.2","5.7","6.6"
"Total","Galati","2007","5.7","6.6","11.3"
"Total","Galati","2008","6.6","11.3","10.4"
"Total","Galati","2009","11.3","10.4","7.9"
"Total","Galati","2010","10.4","7.9","8.9"
"Total","Galati","2011","7.9","8.9","9.2"
"Total","Galati","2012","8.9","9.2","9.5"
"Total","Galati","2013","9.2","9.5","9"
"Total","Galati","2014","9.5","9","9.7"
"Total","Galati","2015","9","9.7","7.9"
"Total","Galati","2016","9.7","7.9","6.3"
"Total","Galati","2017","7.9","6.3","5.6"
"Total","Galati","2018","6.3","5.6","6.5"
"Total","Galati","2019","5.6","6.5","6.4"
"Total","Galati","2020","6.5","6.4","6"
"Total","Galati","2021","6.4","6","undefined"
"Total","Galati","2022","6","undefined","undefined"
"Total","Tulcea","2000","11.4","9.2","9.6"
"Total","Tulcea","2001","9.2","9.6","8.7"
"Total","Tulcea","2002","9.6","8.7","5.6"
"Total","Tulcea","2003","8.7","5.6","6"
"Total","Tulcea","2004","5.6","6","4.7"
"Total","Tulcea","2005","6","4.7","3.8"
"Total","Tulcea","2006","4.7","3.8","4.4"
"Total","Tulcea","2007","3.8","4.4","8.9"
"Total","Tulcea","2008","4.4","8.9","8.1"
"Total","Tulcea","2009","8.9","8.1","5.8"
"Total","Tulcea","2010","8.1","5.8","5.9"
"Total","Tulcea","2011","5.8","5.9","5.9"
"Total","Tulcea","2012","5.9","5.9","5.5"
"Total","Tulcea","2013","5.9","5.5","5.5"
"Total","Tulcea","2014","5.5","5.5","5.4"
"Total","Tulcea","2015","5.5","5.4","4.7"
"Total","Tulcea","2016","5.4","4.7","3.7"
"Total","Tulcea","2017","4.7","3.7","3.5"
"Total","Tulcea","2018","3.7","3.5","3"
"Total","Tulcea","2019","3.5","3","3.1"
"Total","Tulcea","2020","3","3.1","4"
"Total","Tulcea","2021","3.1","4","undefined"
"Total","Tulcea","2022","4","undefined","undefined"
"Total","Vrancea","2000","6.1","5.6","5.9"
"Total","Vrancea","2001","5.6","5.9","5.7"
"Total","Vrancea","2002","5.9","5.7","4.2"
"Total","Vrancea","2003","5.7","4.2","4"
"Total","Vrancea","2004","4.2","4","4.1"
"Total","Vrancea","2005","4","4.1","3.8"
"Total","Vrancea","2006","4.1","3.8","4.4"
"Total","Vrancea","2007","3.8","4.4","7.4"
"Total","Vrancea","2008","4.4","7.4","7.4"
"Total","Vrancea","2009","7.4","7.4","5.5"
"Total","Vrancea","2010","7.4","5.5","5.5"
"Total","Vrancea","2011","5.5","5.5","5.9"
"Total","Vrancea","2012","5.5","5.9","6"
"Total","Vrancea","2013","5.9","6","5.5"
"Total","Vrancea","2014","6","5.5","5.8"
"Total","Vrancea","2015","5.5","5.8","5"
"Total","Vrancea","2016","5.8","5","4.1"
"Total","Vrancea","2017","5","4.1","3.6"
"Total","Vrancea","2018","4.1","3.6","4.2"
"Total","Vrancea","2019","3.6","4.2","4.6"
"Total","Vrancea","2020","4.2","4.6","4.3"
"Total","Vrancea","2021","4.6","4.3","undefined"
"Total","Vrancea","2022","4.3","undefined","undefined"
"Total","Arges","2000","7","6.4","6.6"
"Total","Arges","2001","6.4","6.6","6.2"
"Total","Arges","2002","6.6","6.2","6.8"
"Total","Arges","2003","6.2","6.8","5.2"
"Total","Arges","2004","6.8","5.2","6.1"
"Total","Arges","2005","5.2","6.1","4.8"
"Total","Arges","2006","6.1","4.8","4.9"
"Total","Arges","2007","4.8","4.9","9.5"
"Total","Arges","2008","4.9","9.5","7.6"
"Total","Arges","2009","9.5","7.6","5.7"
"Total","Arges","2010","7.6","5.7","6.1"
"Total","Arges","2011","5.7","6.1","7"
"Total","Arges","2012","6.1","7","5.9"
"Total","Arges","2013","7","5.9","5.1"
"Total","Arges","2014","5.9","5.1","4.7"
"Total","Arges","2015","5.1","4.7","4"
"Total","Arges","2016","4.7","4","3.2"
