Date,County Code,County Name,Number of Transactions,Legend Name EN,Legend Name HU,Legend Name RO
2020-08,22,HARGHITA,622,Others,Egyéb,Alti
2020-08,23,HUNEDOARA,635,Others,Egyéb,Alti
2020-08,24,IALOMITA,485,Others,Egyéb,Alti
2020-08,25,IASI,1183,Others,Egyéb,Alti
2020-08,26,ILFOV,2355,Ilfov,Ilfov,Ilfov
2020-08,27,MARAMURES,766,Others,Egyéb,Alti
2020-08,28,MEHEDINTI,450,Others,Egyéb,Alti
2020-08,29,MURES,1599,Others,Egyéb,Alti
2020-08,30,NEAMT,899,Others,Egyéb,Alti
2020-08,31,OLT,163,Others,Egyéb,Alti
2020-08,32,PRAHOVA,1096,Others,Egyéb,Alti
2020-08,33,SALAJ,327,Others,Egyéb,Alti
2020-08,34,SATU MARE,1079,Others,Egyéb,Alti
2020-08,35,SIBIU,424,Others,Egyéb,Alti
2020-08,36,SUCEAVA,1430,Others,Egyéb,Alti
2020-08,37,TELEORMAN,348,Others,Egyéb,Alti
2020-08,38,TIMIS,2231,Timis,Temes,Timis
2020-08,39,TULCEA,523,Others,Egyéb,Alti
2020-08,40,VALCEA,432,Others,Egyéb,Alti
2020-08,41,VASLUI,358,Others,Egyéb,Alti
2020-08,42,VRANCEA,624,Others,Egyéb,Alti
2020-09,1,ALBA,551,Others,Egyéb,Alti
2020-09,2,ARAD,877,Others,Egyéb,Alti
2020-09,3,ARGES,792,Others,Egyéb,Alti
2020-09,4,BACAU,1578,Others,Egyéb,Alti
2020-09,5,BIHOR,1161,Others,Egyéb,Alti
2020-09,6,BISTRITA NASAUD,349,Others,Egyéb,Alti
2020-09,7,BOTOSANI,1139,Others,Egyéb,Alti
2020-09,8,BRAILA,684,Others,Egyéb,Alti
2020-09,9,BRASOV,2557,Brasov,Brassó,Brasov
2020-09,10,BUCURESTI,8886,Bucharest,Bukarest,Bucuresti
2020-09,11,BUZAU,646,Others,Egyéb,Alti
2020-09,12,CALARASI,543,Others,Egyéb,Alti
2020-09,13,CARAS SEVERIN,197,Others,Egyéb,Alti
2020-09,14,CLUJ,2726,Cluj,Kolozs,Cluj
2020-09,15,CONSTANTA,1806,Constanta,Konstanca,Constanta
